Rating;Title;Text
3.0 out of 5 stars;Not for data;Being unaware of the differences in connections, I bought these. Several weeks in and so far charge phone as they are supposed to but I wanted data also, so they don’t do the job I wanted. Bought other data cables to replace them.
4.0 out of 5 stars;Standardize!;These are for fast chargers, and to be fair I gave them to my wife after realizing the use was limited.  I both a couple packages of the 'slow charger' variety.  These are NOT compatible with those.If you are going to get them STANDARDIZE.  Probably best to start with these since you don't have to have a fast charger.  The cool thing is that if you have multiple devices that require different adapters, this lets you standardize and have one cable that will connect to anything.Another awesome piece about these is the magnetic component.  When I get up and go, I grab my phone and if that may mean I pull a little harder on that plug.  Magnets just let go, a class 'c' could cause damage.
4.0 out of 5 stars;These are very convenient!;These are great is it takes away the need to have multiple cords as the same cable can be used with all of the ends.  I would give them a five star rating but they do not charge quite as fast as a regular charging cable. Other than that they are a winner!
4.0 out of 5 stars;A very convenient and cost worthy device;This product is simply amazing to say the least. It is an all in one charging cable with a multitude of connectors for just about every modern day plug-in and charge device. It also saves you money by not having to purchase separate chargers for all your devices. This particular one came with five different length cables and many connectors for various charger ports. That fact that you can attach your phone or other devices via a magnetic connection between device and cable to charge your device is an outstanding feature in it self. The cable looks and feels sturdy, you can't beat this product at this price point, I'm glad that I purchased it.
4.0 out of 5 stars;Only good for charging;Not good for USB cable for my vehicle but Bluetooth does work fine. This cable is only designed to charge not the transfer data.
4.0 out of 5 stars;Instructions & content identification;A huge glob of connectors included, without instruction nor description of use. Huge trial and error is cumbersome.
4.0 out of 5 stars;Newly bought: GREAT with some cons;Pros: GREAT for kiddos tablets and old phones who might not be gentle in caring for charging ports. My kids have destroyed tablets by pulling chargers out at an angle or inserting them too harshly. So this magnet application is AWESOME! I LOVE the hinge and long cord for my phone bedside. Little light is a neat bonus for finding cord in dark. I actually think these charge well at a decent speed. If you don’t remove the charger port tip it helps block the port from getting dirty.Cons: The port tip is small and hard to remove with phone case on in a situation where I would use my AUX cord to play my music or for corded headphones. (If you use Bluetooth to connect this is unlikely to matter to you)Also since the tips are so small they are easily lost if removed, my son already lost one first hour.Unknown: haven’t had them long enough to testify sturdiness and long term function. My son insists that the port he lost “fell out” but mine is tight so I am not so sure if it did or not. He’s not a liar but he is 6 so…lol
3.0 out of 5 stars;Okay just okay;Well I've had it for about a month and it broke. The little in the middle piece broke off. I hope I have another one. I personally like the blue light as it is easy to local at night and to tell the difference from another wire. It's not a super charge but it as good charge. My phone doesn't drain the charge more than normal.
5.0 out of 5 stars;really expected more :/;I first got these and was so excited! Loved the idea of the magnetic technology and since I have Multiple Sclerosis, my hands often don’t cooperate with me that easily. This product was perfect… for a week! Now I will say that from the start as soon as I chose an adaptive piece for my device and put it in correctly, I tested with the charger to see if it could withstand a pull while plugged in. NOPE! Came right out, adapter piece and cable. So I figured meh, for the price, I’d deal with it. But id noticed the “lightning charging” that was advertised was not shining through either. I have an iPhone XR, with standard apple lightning cable it should take about 45 minutes to charge, untouched, from 0%. For this charger, it took 2 hours+. Because of this, I no longer use these cables and won’t believe i’ll try them again. The length was great, no issues there. But shorting also came to be an issue as well about 2 weeks into use. I’d swivel the cable (as it should do) and it would disconnect and reconnect, I would have to fight to find the correct positioning sometimes. It became a nuisance and I gave up. It was nice-ish for a week or so. Don’t waste your money!
3.0 out of 5 stars;Magnetic Charging cables for Android Apple and others;Work fine but definitely not a fast cable. My OEM would charge my phone 70% in 30 minutes not this
4.0 out of 5 stars;Do yourself a favor;Buy several of these...being able to use the same cord with different ends is an amazing thing. The lighted magnetic ends is a nice touch for use a night. The fact that the end swivels helps in the places where most cords where out due to the nature of cords.
4.0 out of 5 stars;So far love it.;Easy to use
3.0 out of 5 stars;Great when it works;Magnets are definitely not as strong as they are made out to. While the charging can work if the device isn't moved, trying to charge while using the device is usually a failure and the connection isn't strong enough. The iPad doesn't charge at all, tried different cables, chargers and adapters. Definitely not buying anymore after this and am hesitant to even try other brands.
3.0 out of 5 stars;Fine but not amazing;We bought these as a way to charge mine and my husband phones so we could share cords as I have an iPhone and he has a Samsung. These were great at first but when I got a different phone case, it wouldn't work with my Otterbox. It also didn't allow me to use apple CarPlay in my car and had to use bluetooth, not the worst thing but I prefer apple CarPlay.My husband wasn't a fan of these chargers because it doesn't fast charge his phone. If he switched to a different charger, he had to take out the small piece in the charging port in order to put the other charger on. This caused us to loose all the small pieces(eventually all found) that go into the charging port. While this has really good potential it just wasn't the product for us, especially with little kids around. The small pieces are a choking hazards.
3.0 out of 5 stars;Low quality materials changing charge rate to 6hrs;Tried all of the cables and they yield the same result, even with different charge blocks. Magnetic chargers just aren't there quite yet. They all take a min of 4 hours to fully charge my phone.
4.0 out of 5 stars;Easy? Yes. Durable? Perhaps not;I loved the idea and ease of these iPhone cords, and my daughter loves her magnetic cords. I hoped that the connection would be more consistent, longer-lasting than a traditional iPhone cord.Nevertheless, within 2 weeks, my husband managed to separate the connector from the cord by pulling on the cord rather than breaking the magnet's seal. DO NOT DO THIS. Just as you do not pull an electric cord out of the wall by yanking on the wire, do not pull the cord away from the phone before breaking the magnetic seal by grabbing hold of the magnet itself and slightly bending it away to disengage it.The good news is there are several cords in the set and my husband is more careful now. After 1 month of use, I can say I like these iPhone cords. Just know that you must be careful when disconnecting the magnet from the phone or it will break at the hinge.
3.0 out of 5 stars;A picture is worth 1000 words;This product is questionable. So first off, the PROS: I really like that the end of the charging cord glows blue when not in use. It’s easy to see in the dark and let’s you know that there is power to the cord. I also like that the cords come in various lengths. Finally, I like the whole concept of magnetic charging. It’s so easy to connect and disconnect. Seems like less wear n tear on the cords. CONS: The mini dongle ( for lack of a better word) that you insert into your device is glued together. SEE PICTURE ATTACHED. I simply disconnected the wire from the charger and it fell apart. I also noticed that you must have the part that you insert into your device, inserted the right way ( For Apple Devices). Otherwise it doesn’t work. Most Apple compatible chargers work no matter how you insert them. Finally, I noticed that it was hit n miss when charging my iPad. I had to connect and disconnect the charger several times before it seems to finally connect. All in all, you get several dongles and dongle types. If they hold up, I’m still happy. If they continue to break. It’s a waste.
3.0 out of 5 stars;Can't charge phone if it's in a case.;"Cool idea, lots of little parts and dexterity.  But with an iPhone in a ""not really bulky"" case, my primary reason for purchasing, it wouldn't insert completely.  It's heading back to Amazon."
4.0 out of 5 stars;Cables ok, connector tips broke apart;"I bought these to help eliminate some of the many charging cables I have. most are Micro connections, and the newer devices have Type-C connections, so this is the perfect solution.The cables are fine, but the connector tips are lousy:The micro tips did not make a proper connection -- they were either loose and/or needed to be held in with extra pressure. I replaced these with a different brand.The Type C tips were initially great, but quickly failed. These are used in my Android phone and get a lot of plugging in and out. The first one lasted about three weeks, the second, about two.I love the magnetic connection and the bendable ends. Those were the main features I was looking for.These would be a great value if the tips worked.Also, these are generic cables. The Amazon listing brands these as ""Terasako"" and the photo even shows the name printed on the end of the cable, but these are completely generic. Even the box is generic. There is no manufacturer or company name. It doesn't even say what kind of cables they are.I've been looking for the Anker version of these, but I haven't found them yet. Happy shopping!"
3.0 out of 5 stars;Easy to connect;Works fairly well, magnet doesn't seem that strong
3.0 out of 5 stars;Don't allow data;These are only charging cables and will not do data if your trying to use with android auto
4.0 out of 5 stars;Great charging cords, BUT might not fit with every phone case;These cords are perfect and worked great for me - the only thing is, the little bit that stays magnetically in your phone's charging port is a bigger circle and might not fit with your phone case. They worked great with my old phone case, but when I switched to iPhone they did not fit in any phone cases i tried using. Only get these if your phone case has a wide opening, otherwise, i suggest going with other chargers
3.0 out of 5 stars;Great idea, mediocre implementation;A co-worker purchased this product and recommended it to me. It's okay, I don't really have a need for the 3 foot cords, but some of the connectors for the devices came broken. Not all of them and there were more than enough for the devices I wanted to charge.The idea of being able to hot swap devices and not worry about which charger you have is great when you have an iPhone for work and an android for personal devices. I plugged one into my airpods and the other into my galaxy buds along with the phones and it takes them a little longer to charge, but the convenience is worth the delay in most cases.Without the broken pieces I would give this a 4. If it included 6 foot cards instead of one of the 3 foot cords I would consider giving it a 5.
4.0 out of 5 stars;Nice but wore out after a little more than 6 months;First six months or so of this product was great after that getting a connection to my iPhone was just about impossible but it worked fine with a standard charging cableThe non iPhone connectors seem to be working fine. But I admittedly don’t use them as much as the iPhone ones so with more use they might not last as well eitherLove the idea of this product and was super happy with them until it started to not connect and charge
3.0 out of 5 stars;Works on Android;Works on my android but the other fittings will not hook to an IPhone. Also as an overnight charge works great but does not fast charge.
3.0 out of 5 stars;Good choice;Did not allow me to get a loknger length.  The cord seems sturdy
3.0 out of 5 stars;No data transfer, just work for charging;No data transfer, just work for charging
5.0 out of 5 stars;Great for kids and adults!!;I got this pack of magnetic chargers because i was stuck with only one short charge cord for my phone,the different lengths are great short one for the car long one to reach my bed when im getting ready for sleep and want to scroll a bit lol... Since it comes with multiple i can keep one in multiple places so i dont have to keep unplugging and plugging in elsewhere , just leave the little attachment in your phone and you are good to go! And of course the big bonus is it works amaxingly for my kids who struggle to plug in their tablets, i just leave the piece in their tablet and they can magnetic charge anywhere without atruggling to plug it in ^_^ 10/10 reccomend
4.0 out of 5 stars;Slowly Charges....Sometimes;These Charging Cords Are Ok But It Sometimes Charges Slowly Like Almost 5 Hours To Charge So I Recently Bought A New Different Charger And New Charger Cord Else Where And I Will Not Mentioned Where I Got It But My New Charger Charges 3X Faster Then These Cords So I Would Recommend To Not Waste Your Money On These Cords Of What You See Here
4.0 out of 5 stars;Charge sucks;One sloght move and it disconnects from the phone, it's slow charging even if you have a fast charging box.
4.0 out of 5 stars;Easy to use;These where great loved them. But if you have kids are or not gentle on cords they don’t last.  I gave the review on how I used them till the kids saw the light that shines from them and played when I didn’t see and broke them on me.
3.0 out of 5 stars;Disappointing;I like the cord length and the easy connection. The bad thing is that the end easily comes out of phone and are not so durable as I have wrecked two of the cords and a couple of connectors that go in the phone.
3.0 out of 5 stars;Okayish;Most work fine. The loner cord sometimes (often) ntermittently connects and disconnects. Like while sitting on the table and not touching it....
4.0 out of 5 stars;Great chargers;I was skeptical that I would like these, but they are awesome. I have always had trouble with charging cords and this has solved that. I love that it comes with so many plugs and cords. Great item!Edit: It's been a few weeks, and I still like them, but one of the six foot cables stopped charging. I'm not sure why, it's still in good shape, I've cleaned the connections but it still won't work. But I just switched it out for another one of the cables. I had to drop a star for this, but still a good value.
3.0 out of 5 stars;Not great;I got them because they had a right or left angle, so the cable would not get in the way while using it in Portrait mode.  I found that the plug ins didn’t last, I had to buy more.  It was just a good idea that didn’t last!
3.0 out of 5 stars;They work, but slowly;I loved the idea of these and like most people we have multiple devices all with a different type of charge cables.  The only down side i had with these, are they do not charge past 2watts and most products now days require 5 or higher.
2.0 out of 5 stars;Do not buy!;The pieces in the kit fit very well into phones tablets and other devices. The bad if you are looking at this for your phone or tablet it will only work sometimes and other times it will say connected not charging. You pull it off and reconnect it will tell you slow charge you pull it off again it won't even show connected very inconsistent. I will be using it for smaller devices that don't need a heavier charge rate but not for my phones and tablets!
3.0 out of 5 stars;If you use a phone case, forget about it;I bought this specifically for my son who MUST have a case on his phone.  He ends up destroying the charging port and I was hoping that keeping the port piece inside the damn thing would solve that problem. It does not.  I'm not returning them because we have plenty of other devices that don't require cases or have a wider charging area, so they will come in useful. So also using it in your car, IF YOU HAVE A CASE, is not gonna happen as easily as they say. (Which sucks for myself also). I cannot express how irritating this is.
5.0 out of 5 stars;I ordered the 5 cords for 5 I phones and there was only 4 ends for a I phone;Wish the five cords would of come with 5 iPhone attachments
4.0 out of 5 stars;Decent magnetic charging cables;The slightest speck of dirt will cause slow charging. Moisture quickly causes corrosion at the swivel. Otherwise, so far, they work great.
3.0 out of 5 stars;Takes forever;I really liked this at first. More cords than i expected and can fit iphone or android. I really like that it can swivel so you don't damage the cord. The con is that it takes so long to charge. I try not to let my phone die completely because it takes forever to even charge long enough to power it back on.
3.0 out of 5 stars;Very slow to charge my phone;If u have a big galaxy phone and are using tic tok in bed your phone will still die faster than the cable allows u to charge
4.0 out of 5 stars;Seems good for impulse buy;This was an impulse purchase for me when picking up a couple of charging cables for my devices. When opening the box and first seeing the item I didn't have much hope for it. As I didn't like how the replaceable heads attached to the cord. That being said after two days and using with two different devices (Android phone and Switch) I am quite pleased. The charge speeds have been really good for me and the detachable heads has so far turned into one of my favorite things about the cord. It is easy enough to leave the head plugged into the device and then attach the cord to what ever needs charging....So far after two days it is easily a 4.5 star product, rounding down to 4 stars instead of up to 5 stars because I don't know how long term the cord will survive.
3.0 out of 5 stars;Dunno about this;"I bought this end of Aug 2021. At first I loved it just to make my life simpler so I can toggle using tablet/phone with one cable where I'm sitting. This does not fast charge. I knew that going into it that a lot of the magnetic chargers aren't fast. that doesn't bother me. What does bother me is that one of the 6ft cord ends seemed to have melted or something? I have no idea how or why this would have happened. I was using it earlier in the day and came back to use it a couple hours later and found it would no longer attach to my phone. When I looked at the end it looks ""goopy"" like the center of it dissolved or something. I don't even know how to describe it so I attached a photo. The left is what it is supposed to look like and the right is what happened. I will not be buying this brand again. A decent should last minimally a year. Even if it stopped working, I wouldn't have dreamed anything like this would happen."
4.0 out of 5 stars;Not fast charging, but didn't claim to be;I just got these today to replace my stock cables. So far so good, cords seem nice and the magnets are wicked strong.  However, I am disappointed they do not fast charge.  I ASSUMED all of there were. It's 2022.  My bad for that.  Otherwise I am satisfied.
3.0 out of 5 stars;Disappointed;Love the whole concept, cord length is great, magnet is strong! The only down side is the charging ability, it's very slow. Need to improve the charging speed and this would be a 10!
4.0 out of 5 stars;Fast charge, strong hold and pliable. Ps4= not compatible. Good product.;It charges fast and good has great hold and movement. But does not charge ps4 controllers.
1.0 out of 5 stars;No longer works;I have had these chargers for 6 to 8 weeks now and they have already stopped charging.  Of course it worked long enough to get past the return policy and then stopped working.  If my phone has 5% battery and put my phone on the charger it will keep my phone at 5% for days but never actually  charge it.  I have tried playing with it and nothing helps.  I will now have to buy more cables because I threw out my old cables.  This is a bad purchase and wish I wouldn't have bought so many and gotten rid of my old ones without testing first.  They also advertise how strong the magnet is and how you can hold the phone by the cable.  Yes you can if you are very careful but it is not as strong as it says it is.  Most of the features and details about these cables are lies.  Save yourself the frustration and don't bother.  If you really want to try them.  Let me know.  I have 5 cables and plugs you can have.  I will.ne er get my money back
3.0 out of 5 stars;Only For Charging, But It Does That Slow;Fine if you want to charge your phone, but be aware that it charges V E R Y  S L O W L Y.  It will not work for connecting your phone to your car via Android Auto or Apple CarPlay.
3.0 out of 5 stars;pretty slow...;Way too slow for anything other than overnight.
4.0 out of 5 stars;Works well can’t beat the price;Doesn’t charge quite as fast as a regular cable but it’s not too slow either.Magnet is pretty strong, I wouldn’t recommend try to pick it up by the cord with a bulky phone like the iPhone 12 Pro Max, but it will never come off by accident.So convenient to not have to have multiple different cables and at this price you can buy multiple packs and scatter them in every room of your house.
4.0 out of 5 stars;Works well except doesn't fully charge iPad in a reasonable time.;The positives:  Love the braided cord.  Really like the one that has a swivel connection.  This will result in less damage and replacement of cords.Now the issue:These are good EXCEPT that they do not work well for iPads.  I plug in my iPad overnight and it still does not have a full charge by morning.  Using a standard plug provides a full charge (so it's not my iPad at fault).  The only other issue I have found is that if multiple people have devices, but they don't have the proper connection, they can't use this cord.  For instance, I have one of these permanently plugged into my car.  When someone who does not have this set is in my car, they can't plug their device in.
3.0 out of 5 stars;perfect depending on your phone CASE;READ! BEFOR YOU BUY, If you have a hard case or full cover case this is not for you as it need to be all the way inside to latch on properly or you would have to take of your case to plug it in properly.•Charging power/time would depend on your brick/portable batteryPros:•very good cables•different lengths of the cables•perfect for kids ipad or phones since they always use the phone/table while chargingCons:•not for all phones with Hard case or full body case.•when using the wire for a while it kinda gets stiff.•is not able to transfer data or updates (TESTED with a ps5 controller)
3.0 out of 5 stars;Low Charge rate;This cable charges at less than half the wattage compared to a regular cable. I like it but if you want fast charging this is not it.
5.0 out of 5 stars;Great charging cables, great value;Magnetized charging cables and connectors are far more superior to conventional charging devices. Quick release and charging power are just some of the advantages over regular charging cable accessories
5.0 out of 5 stars;Charging;The media could not be loaded.
4.0 out of 5 stars;Cool concept… works well mostly;These cables are great and convenient, but require a bit of commitment to the system. If you leave the tips in your devices it can work well… but, if you’re out somewhere away from your cables and need to charge, you’ll need to remove the tip and sometimes they get lost.Also, I have to pull the magnetic cable off to the side and not straight out or the tips sometimes come off attached to the cable. Strong magnets.Also, for some reason, they don’t seem to work in my Honda Fit and once in a while in other usb chargers. Not sure why. This is why they get 4 stars instead of 5.
4.0 out of 5 stars;falling apart;"I thought these were great, but my 10"" only lasted 3 months before falling apart at connection swivel point"
3.0 out of 5 stars;Works well when the inserts work;We use these all the time, we ended up with 2 sets and the different charging ends are in several of our commonly used devices. The idea is brilliant for making cables universal and the ends that do work charge our phones, tablets, and other items fairly quickly. The light at the end of the cable makes it easy to find them in the dark but may not be ideal for everyone since the light is pretty bright. Unfortunately 2 of the 8 Type C plugs we have do not work at all. luckily we had enough to just use other ones but 25% makes me a bit worried about how long the rest will last if 1/4 were DOA.
3.0 out of 5 stars;Works great on my IPhone, not so much with my tablet;No issues at all with using the product with my phone. However, with my IPad tablet, the cord was very positional to get it to charge. I also had to be careful when disconnecting because it would also remove the insert as well. (By the way, unlike a lightening plug which is double sided, these are only one sided so you may have to flip it over to get a proper connection.) I ended up going back to my original charging cable on the tablet.
3.0 out of 5 stars;Works. Until it doesn't.;I liked that it was magnetic, so I wouldn't constantly be plugging in/unplugging the charger. I didn't like that it took a looonng time to charge. I liked even less that the charger tips (not the tabs) break off so easily. I downright HATE that the last one just now died. I don't think I'm going to try again
4.0 out of 5 stars;they work well enough;they work well enough, have used them for 3 weeks now with no issues, hope they keep up the performance and durability
4.0 out of 5 stars;Lowered a star :(;It stopped charging my iPad. I changed the adapter.Still charges my iPhone.
3.0 out of 5 stars;Love them so far BUT THERE IS ONE FLAW!!!;I like them so far but I'm super bummed that it doesn't allow the Apple Car Play to connect..😫😣☹️
3.0 out of 5 stars;Good in theory;Bought these to replace my multiple car chargers but ran into a couple of issues.1.) Could never get these to fast charge on any block2.) When you uplug from your device, the magnet tip stays stuck in the phone port. If you have a case, having to constantly dig out the charger tip is annoying.
3.0 out of 5 stars;Takes to long to charge.;The principal behind the charging cord is great. Small children can charge their tablets themselves.  But if you are looking for a rapid charge, this doesn't do that. Normal charge time for my phone is around an hour, with the magnetic charger it takes about 4 hours.
4.0 out of 5 stars;Drains battery (Samsung Galaxy)--edited: but customer support is excellent;*Edit*So I requested help with the product and they were very responsive and honored my request. I think if they are able to obtain and market a more reliable product, it would be good. But I am impressed and thankful for their customer support!-------------------------------------------------It's very convenient and gets rid of the breakage/loosening of the fastener, but after a few days, I noticed that it drained my battery! It also takes a long time to charge.  I really appreciated the versatility of it, but too bad about draining my battery. I almost thought it ruined my phone, but after I reset my phone and went back to the traditional charger, it was fine.
3.0 out of 5 stars;Not for iPad Pro!;Doesn’t charge my iPad Pro at all.  Works perfect for AirPods and the Nintendo Switch
4.0 out of 5 stars;NICE IDEA BUT.....;What type of phone case works with this product? Not mine.... Should partner with Otterbox and then it would be awesome!
2.0 out of 5 stars;Doesn’t work with phone case on!;It’s awesome but the part that goes in the phone needs to be longer so you can charge with your case on. Love it’s got a light at the end. Not a fan of taking the case off to charge.
2.0 out of 5 stars;Worked ok at first, then power fell;The charger still works, and the idea is novel and convenient, but not long after having it, the amount of power output dropped significantly. It still works, but as a very slow charger, sometimes taking 5-7 hours to charge my phone. I have used other known good charging plugs that are much faster with other wires, but now these wires are very slow. Sometimes if you wiggle the port or such it will jump up to 2-3 hour charge, but only says that as long as you're applying pressure to the port. So not a viable solution.The magnet is strong enough to pick up my phone with it's case on. But other than that, this is not worth it to me. I would not recommend this product to other people. I like the idea, but it does not last.
2.0 out of 5 stars;Cheap product;This is the first time I've ever bought charger cords that refuse to work with a plug in wall charger or my computer.  The ones I received only work with built in USB ports like in the base of a lamp you see in a hotel. I don't know many people who have that kind of built ports. So basically they are completely worthless. Even if you have the built in ports, you can't get fast, lightning, or anything else remotely quick charge. A 23% charge on my Samsung 5G 2022 model phone takes 1 hour 24 minutes. Buyer beware.
3.0 out of 5 stars;Nice set - be careful;I was excited about this setup when it showed up. It comes with everything I needed for all my devices different plugs. I quickly realized I get very hot. Like jerk your little finger away as soon as it touches it. I don’t use it on my phone or laptop anymore - worried it will mess something up. I only use it for all my little gadgets that charge in 15-20m. BT Speakers - head phones - etc .
4.0 out of 5 stars;Really easy and large, clumsy dog friendly;It's nice knowing I can set my phone on a table while it's plugged in and if my dog runs past, grabbing the cord in the process, he won't pull my phone with him. Also, there is a small light at the very end which makes plugging your phone in while it's dark super easy. Thankfully, once the phone is attached the light is no longer visible! So no blue light keeping me awake all night.Only downside is that it wasn't a fast charge.  Ultimately ended up sending these back since my other cords charged my phone 50% faster.
2.0 out of 5 stars;Fast Charging?;I have devices capable of fast charging. These did not function for me. I got constant errors telling me to use the manufacturer cable.  I own a Note 20.
3.0 out of 5 stars;Very slow charge;Pros:-Magnet works great, doesn't accidentally fall out and is very secure-Being able to use 1 cable for every device is awesomeCon:-Charges very slowly, my 10,000mah phones charging case takes 10+ hours to charge-No data transfer
3.0 out of 5 stars;Very nice to have but beware of it's minimum charge speeds.;Great for most small devices but it only charges 5w2a max, which is bare minimum for any device. Every magnetic charging cord I have seen has been the same. Must be a limitation of the technology although idk why. For the most part, even that super low power covers most devices overnight. I bought it, not seeing the max output, hoping it was just copper and it would charge whatever the wall wart outputted. I was wrong. Just don't buy this hoping it'll cover any larger devices or fast charge. It won't.
2.0 out of 5 stars;Cords;Some of the adapters did not work. One of these sets was a Christmas gift and the recipient didnt want the hassle of returning
4.0 out of 5 stars;the connection wasn't always perfect but it will do.;it's an okay set of cords, sometimes you have to mess with the connection tough.
4.0 out of 5 stars;good cable package;They work very well and reduce or eliminate the strain on the plugs and cable ends.  Just be aware if you have a case with a port cover for your charging port, the magnet remains in place, so the cover will stick out slightly.  The magnet attaches quickly and without much alignment.  Charging is good through the cable.  Read the disclaimer, not sure if it does data transfer through the cable.I also wish they sold multi-packs or individual 10'ft cables.
4.0 out of 5 stars;Charging AND playing simultaneously.;Simply love it!  Over the years I was constantly replacing frayed or broken cables. I think So far that this one is quite durable and also allows you to charge and use simultaneously.
3.0 out of 5 stars;Not worth it.;My phone over heats with this. This is cool. but not worth it.
2.0 out of 5 stars;i-connectors not to spec - wriggles right out;The product's i-connector (iPhone) is slightly shorter than the standard Lightning connectors.  The connector/product measures 5.90 mm, compared to the standard cable lightning connectors of 6.89 mm.  This means that your product can wiggle loose when small latitudinal forces are applied. The connector falls right out due to the weight of the cable.I tried the connectors with and without a case on multiple phones and the same thing happens.  the Locking mechanism doesn't fully engage because of the measurements listed above.The cable itself is nicely braded.  Since it is only handling power it is slightly thinner than a standard lightning cable.  Overall if the i-connector stayed in this would be a smashing good product.The other connectors, micro usb and usb-c work very well.  I am giving Terasko support an opportunity to provide i-connectors that are the right spec, or I will be returning this product (since I will be using them primarily with my apple devices)5-10-22 Update:Support says their newer product has updated I-connectors. They refunded my purchase and recommended trying the newer product.
3.0 out of 5 stars;The magnetic ends do  not hold very well when using your phone while it’s  Charging.;I like the fact that the cord is sturdy and it has plenty of length to move around. I bought this for the magnet to make life easier when I charge my phone because I am in the a wheelchair and my hands are weaker than they were before I broke my neck, but the magnet doesn’t fit into my iPhone deep enough for a connection to charge it, and the magnet only works on one side for the iPhone because they only put the little gold connectors on the back side facing the back of the iPhone when you try to charge it.
2.0 out of 5 stars;Falls off  of the phone;It charges slowly. The worst issue is that the cable came loose at any slight motion, even just picking up the phone. Very disappointing...
2.0 out of 5 stars;Neat idea, cable underperforms;Several cords of varying lengths are pretty handy and the magnetic part attaches well to charge the device. However, the cable did not allow for fast charging and one cable charged so slowly it didn't even keep up with my phone.
3.0 out of 5 stars;No data transfer;I did not realize that these did not allow data transmission / GPS useage. Otherwise I'm sure they are fine.
5.0 out of 5 stars;I love these cables.;I love these cables.  They work just fine and when the device is connected and you want to grab and run, you can.  You don't have to stop and fiddle with it unplugging the cable.  Just grab the phone and walk away.  The cable stretches out to the end and pulls the magnetic connector apart as the cable hits the end.  You don't have to have a magnifying glass to see the orientation of those pesky little micro USB plugs to connect.  Just bring the magnetic end close to the magnetic insert that lives in the phone port and they snap together.  I use them on samsung phones, android tablets, Ipads, MP3 players and several other items.  I think they are great.  I've been using them for about 6 months or so now and they seem to be holding up just fine.
3.0 out of 5 stars;Warning Tips too short;"The tips where you connect to your phone are ""short"" or the circle is too big. Therefore, if you have a phone case, this cable is useless. It can't insert fully, so can't charge."
