Text,Rating
product questionable first pro really like end charging cord glow blue use easy see dark let u know power cord also like cord come various length finally like whole concept magnetic charging easy connect disconnect seems like le wear n tear cord con mini dongle lack better word insert device glued together see picture attached simply disconnected wire charger fell apart also noticed must part insert device inserted right way apple device otherwise work apple compatible charger work matter insert finally noticed hit n miss charging ipad connect disconnect charger several time seems finally connect get several dongle dongle type hold still happy continue break waste,3.0 out of 5 stars
cool idea lot little part dexterity iphone really bulky case primary reason purchasing would insert completely heading back amazon,3.0 out of 5 stars
bought help eliminate many charging cable micro connection newer device type c connection perfect solution cable fine connector tip lousy micro tip make proper connection either loose needed held extra pressure replaced different brand type c tip initially great quickly failed used android phone get lot plugging first one lasted three week second two love magnetic connection bendable end main feature looking would great value tip worked also generic cable amazon listing brand terasako photo even show name printed end cable completely generic even box generic manufacturer company name even say kind cable looking anker version found yet happy shopping,4.0 out of 5 stars
work fairly well magnet seem strong,3.0 out of 5 stars
charging cable data trying use android auto,3.0 out of 5 stars
cord perfect worked great thing little bit stay magnetically phone charging port bigger circle might fit phone case worked great old phone case switched iphone fit phone case tried using get phone case wide opening otherwise suggest going charger,4.0 out of 5 stars
co worker purchased product recommended okay really need foot cord connector device came broken enough device wanted charge idea able hot swap device worry charger great iphone work android personal device plugged one airpods galaxy bud along phone take little longer charge convenience worth delay case without broken piece would give included foot card instead one foot cord would consider giving,3.0 out of 5 stars
first six month product great getting connection iphone impossible worked fine standard charging cablethe non iphone connector seem working fine admittedly use much iphone one use might last well eitherlove idea product super happy started connect charge,4.0 out of 5 stars
work android fitting hook iphone also overnight charge work great fast charge,3.0 out of 5 stars
allow get loknger length cord seems sturdy,3.0 out of 5 stars
data transfer work charging,3.0 out of 5 stars
got pack magnetic charger stuck one short charge cord phone different length great short one car long one reach bed getting ready sleep want scroll bit lol since come multiple keep one multiple place keep unplugging plugging elsewhere leave little attachment phone good go course big bonus work amaxingly kid struggle plug tablet leave piece tablet magnetic charge anywhere without atruggling plug _ reccomend,5.0 out of 5 stars
charging cord ok sometimes charge slowly like almost hour charge recently bought new different charger new charger cord else mentioned got new charger charge x faster cord would recommend waste money cord see,4.0 out of 5 stars
one sloght move disconnect phone slow charging even fast charging box,4.0 out of 5 stars
great loved kid gentle cord last gave review used till kid saw light shine played see broke,4.0 out of 5 stars
like cord length easy connection bad thing end easily come phone durable wrecked two cord couple connector go phone,3.0 out of 5 stars
work fine loner cord sometimes often ntermittently connects disconnect like sitting table touching,3.0 out of 5 stars
skeptical would like awesome always trouble charging cord solved love come many plug cord great item edit week still like one six foot cable stopped charging sure still good shape cleaned connection still work switched another one cable drop star still good value,4.0 out of 5 stars
got right left angle cable would get way using portrait mode found plug in last buy good idea last,3.0 out of 5 stars
loved idea like people multiple device different type charge cable side charge past watt product day require higher,3.0 out of 5 stars
piece kit fit well phone tablet device bad looking phone tablet work sometimes time say connected charging pull reconnect tell slow charge pull even show connected inconsistent using smaller device need heavier charge rate phone tablet,2.0 out of 5 stars
bought specifically son must case phone end destroying charging port hoping keeping port piece inside damn thing would solve problem returning plenty device require case wider charging area come useful also using car case going happen easily say suck also express irritating,3.0 out of 5 stars
wish five cord would come iphone attachment,5.0 out of 5 stars
slightest speck dirt cause slow charging moisture quickly cause corrosion swivel otherwise far work great,4.0 out of 5 stars
really liked first cord expected fit iphone android really like swivel damage cord con take long charge try let phone die completely take forever even charge long enough power back,3.0 out of 5 stars
big galaxy phone using tic tok bed phone still die faster cable allows charge,3.0 out of 5 stars
impulse purchase picking couple charging cable device opening box first seeing item much hope like replaceable head attached cord said two day using two different device android phone switch quite pleased charge speed really good detachable head far turned one favorite thing cord easy enough leave head plugged device attach cord ever need charging far two day easily star product rounding star instead star know long term cord survive,4.0 out of 5 stars
bought end aug first loved make life simpler toggle using tablet phone one cable sitting fast charge knew going lot magnetic charger fast bother bother one ft cord end seemed melted something idea would happened using earlier day came back use couple hour later found would longer attach phone looked end look goopy like center dissolved something even know describe attached photo left supposed look like right happened buying brand decent last minimally year even stopped working would dreamed anything like would happen,3.0 out of 5 stars
got today replace stock cable far good cord seem nice magnet wicked strong however disappointed fast charge assumed bad otherwise satisfied,4.0 out of 5 stars
love whole concept cord length great magnet strong side charging ability slow need improve charging speed would,3.0 out of 5 stars
charge fast good great hold movement charge p controller,4.0 out of 5 stars
charger week already stopped charging course worked long enough get past return policy stopped working phone battery put phone charger keep phone day never actually charge tried playing nothing help buy cable threw old cable bad purchase wish would bought many gotten rid old one without testing first also advertise strong magnet hold phone cable yes careful strong say feature detail cable lie save frustration bother really want try let know cable plug ne er get money back,1.0 out of 5 stars
fine want charge phone aware charge v e r l w l work connecting phone car via android auto apple carplay,3.0 out of 5 stars
way slow anything overnight,3.0 out of 5 stars
charge quite fast regular cable slow either magnet pretty strong would recommend try pick cord bulky phone like iphone pro max never come accident convenient multiple different cable price buy multiple pack scatter every room house,4.0 out of 5 stars
positive love braided cord really like one swivel connection result le damage replacement cord issue good except work well ipads plug ipad overnight still full charge morning using standard plug provides full charge ipad fault issue found multiple people device proper connection use cord instance one permanently plugged car someone set car plug device,4.0 out of 5 stars
read befor buy hard case full cover case need way inside latch properly would take case plug properly charging power time would depend brick portable batterypros good cable different length cable perfect kid ipad phone since always use phone table chargingcons phone hard case full body case using wire kind get stiff able transfer data update tested p controller,3.0 out of 5 stars
cable charge le half wattage compared regular cable like want fast charging,3.0 out of 5 stars
magnetized charging cable connector far superior conventional charging device quick release charging power advantage regular charging cable accessory,5.0 out of 5 stars
medium could loaded,5.0 out of 5 stars
cable great convenient require bit commitment system leave tip device work well somewhere away cable need charge need remove tip sometimes get lost also pull magnetic cable side straight tip sometimes come attached cable strong magnet also reason seem work honda fit usb charger sure get star instead,4.0 out of 5 stars
thought great lasted month falling apart connection swivel point,4.0 out of 5 stars
use time ended set different charging end several commonly used device idea brilliant making cable universal end work charge phone tablet item fairly quickly light end cable make easy find dark may ideal everyone since light pretty bright unfortunately type c plug work luckily enough use one make bit worried long rest last doa,3.0 out of 5 stars
issue using product phone however ipad tablet cord positional get charge also careful disconnecting would also remove insert well way unlike lightening plug double sided one sided may flip get proper connection ended going back original charging cable tablet,3.0 out of 5 stars
liked magnetic would constantly plugging unplugging charger like took looonng time charge liked even le charger tip tab break easily downright hate last one died think going try,3.0 out of 5 stars
work well enough used week issue hope keep performance durability,4.0 out of 5 stars
stopped charging ipad changed adapter still charge iphone,4.0 out of 5 stars
like far super bummed allow apple car play connect,3.0 out of 5 stars
bought replace multiple car charger ran couple issue could never get fast charge block uplug device magnet tip stay stuck phone port case constantly dig charger tip annoying,3.0 out of 5 stars
principal behind charging cord great small child charge tablet looking rapid charge normal charge time phone around hour magnetic charger take hour,3.0 out of 5 stars
edit requested help product responsive honored request think able obtain market reliable product would good impressed thankful customer support convenient get rid breakage loosening fastener day noticed drained battery also take long time charge really appreciated versatility bad draining battery almost thought ruined phone reset phone went back traditional charger fine,4.0 out of 5 stars
charge ipad pro work perfect airpods nintendo switch,3.0 out of 5 stars
type phone case work product mine partner otterbox would awesome,4.0 out of 5 stars
awesome part go phone need longer charge case love got light end fan taking case charge,2.0 out of 5 stars
charger still work idea novel convenient long amount power output dropped significantly still work slow charger sometimes taking hour charge phone used known good charging plug much faster wire wire slow sometimes wiggle port jump hour charge say long applying pressure port viable solution magnet strong enough pick phone case worth would recommend product people like idea last,2.0 out of 5 stars
first time ever bought charger cord refuse work plug wall charger computer one received work built usb port like base lamp see hotel know many people kind built port basically completely worthless even built port get fast lightning anything else remotely quick charge charge samsung g model phone take hour minute buyer beware,2.0 out of 5 stars
excited setup showed come everything needed device different plug quickly realized get hot like jerk little finger away soon touch use phone laptop anymore worried mess something use little gadget charge bt speaker head phone etc,3.0 out of 5 stars
nice knowing set phone table plugged dog run past grabbing cord process pull phone also small light end make plugging phone dark super easy thankfully phone attached light longer visible blue light keeping awake night downside fast charge ultimately ended sending back since cord charged phone faster,4.0 out of 5 stars
device capable fast charging function got constant error telling use manufacturer cable note,2.0 out of 5 stars
pro magnet work great accidentally fall secure able use cable every device awesomecon charge slowly mah phone charging case take hour charge data transfer,3.0 out of 5 stars
great small device charge w max bare minimum device every magnetic charging cord seen must limitation technology although know part even super low power cover device overnight bought seeing max output hoping copper would charge whatever wall wart outputted wrong buy hoping cover larger device fast charge,3.0 out of 5 stars
adapter work one set christmas gift recipient want hassle returning,2.0 out of 5 stars
okay set cord sometimes mess connection tough,4.0 out of 5 stars
work well reduce eliminate strain plug cable end aware case port cover charging port magnet remains place cover stick slightly magnet attache quickly without much alignment charging good cable read disclaimer sure data transfer cable also wish sold multi pack individual ft cable,4.0 out of 5 stars
simply love year constantly replacing frayed broken cable think far one quite durable also allows charge use simultaneously,4.0 out of 5 stars
phone heat cool worth,3.0 out of 5 stars
product connector iphone slightly shorter standard lightning connector connector product measure mm compared standard cable lightning connector mm mean product wiggle loose small latitudinal force applied connector fall right due weight cable tried connector without case multiple phone thing happens locking mechanism fully engage measurement listed cable nicely braded since handling power slightly thinner standard lightning cable overall connector stayed would smashing good product connector micro usb usb c work well giving terasko support opportunity provide connector right spec returning product since using primarily apple device update support say newer product updated connector refunded purchase recommended trying newer product,2.0 out of 5 stars
like fact cord sturdy plenty length move around bought magnet make life easier charge phone wheelchair hand weaker broke neck magnet fit iphone deep enough connection charge magnet work one side iphone put little gold connector back side facing back iphone try charge,3.0 out of 5 stars
charge slowly worst issue cable came loose slight motion even picking phone disappointing,2.0 out of 5 stars
several cord varying length pretty handy magnetic part attache well charge device however cable allow fast charging one cable charged slowly even keep phone,2.0 out of 5 stars
realize allow data transmission gps useage otherwise sure fine,3.0 out of 5 stars
love cable work fine device connected want grab run stop fiddle unplugging cable grab phone walk away cable stretch end pull magnetic connector apart cable hit end magnifying glass see orientation pesky little micro usb plug connect bring magnetic end close magnetic insert life phone port snap together use samsung phone android tablet ipads mp player several item think great using month seem holding fine,5.0 out of 5 stars
tip connect phone short circle big therefore phone case cable useless insert fully charge,3.0 out of 5 stars
super excited purchase worried pocket air dirt getting charger port every movement bought claimed fast charger first week great started dying quickly instead hour charge phone suddenly hour hour however long want take connected phone bathroom lost battery plugged nothing touched liquid cable one spot entire time moved plug thing maybe box plugged used different box result even plugged old cable port charging phone went min took write review,1.0 out of 5 stars
another roll amazon roulette cheap product work nothin special honestly make sure put piece charging port correct way return battery,3.0 out of 5 stars
product found slow charging started come apart within week starting use recommend,2.0 out of 5 stars
cable great quick application swivel aspect helpful main job product charge experience lacking actually loose charge using using phone,2.0 out of 5 stars
purchased great concept however worth money little magnetic charger go phone fall easily mine kept slow charging matter plugged vehicle wall outlet,3.0 out of 5 stars
best buy done charging cable useful put charging device,5.0 out of 5 stars
problem charging phone charge samsung tablet charge mother ipads slowly checked ensure magnet securely tablet port also car usb port recognize phone using magnetic cord,2.0 out of 5 stars
light connected phone light shuts connected charge fast cable problem disconnect pretty easily,4.0 out of 5 stars
micro usb tip make connection unless hold pressure usb jack already another tip earlier purchase another brand work fine use tip earlier purchase cable work great tip came purchase useless really like cable end pivot connected charge light keep awake night light end cable hidden attached charge probably keep set cable need tip note new phone lint inside micro usb jack could contribute issue also tried tip item tablet phone result note looking end micro usb see metal contact even height could connection issue unless holding pressure pushing phone connection tip another purchase work fine way metal contact evenly placed within tip,2.0 out of 5 stars
bought three order order one cable stop working first week work well least one work would need probably try different developer,3.0 out of 5 stars
like way connects week cord go charging fast slow charging phone tried different phone slow charging also say work phone bought new phone last night galaxy slow charging phone galaxy,2.0 out of 5 stars
product stopped charging iphone second day owning cord,2.0 out of 5 stars
work really well android device charge slow ipad adapter put one way work flipped nothing work charge slow item work great android though,3.0 out of 5 stars
wish piece go iphone fit tighter lost several bought set straight cord last year magnetic plug plenty tight,3.0 out of 5 stars
one magnet broke piece rather thin,2.0 out of 5 stars
cable functional master peice problem charging power along speed support fast charging maintains current battery status plugged using phone time using phone take hr charge note fast charger,3.0 out of 5 stars
magnetic connection aspect great last long maybe made withstand fast amp charging operated charged fine noticed began taking longer longer charge point cell phone notify slow charging hr estimate full charge battery switch back prior regular cable read fast charging wall charger charging cable happened wife cable still look new broken anything quit charging properly would recommend,2.0 out of 5 stars
maybe asking much would great cable would pas data unfortunately good charging charging great,4.0 out of 5 stars
seem like good cord good idea ibhave samsung galaxy ultra work either phone case big tip meet connector cord fit,3.0 out of 5 stars
well constructed strong magnet effective charging took hour charge ipad hour cell phone charge used different cable package,2.0 out of 5 stars
love flexibility cord charge w prefer w passed granddaughter tablet,3.0 out of 5 stars
work far one six foot cord light work care support fast charging work fast charging pad keep mind appreciate tip work statik power cable already bought,3.0 out of 5 stars
phone android tablet android phone blue tooth headphone plug adopter provided one cord charge time actually one cord car couple place home device get charged,4.0 out of 5 stars
purchased mainly vehicle seeing picture phone vehicle warning carplay compatible purchased assuming still charge phone bottom little magnetic piece insert phone little contact piece protrudes base dig finger cord thin feel cheap lightning insert iphone ipad etc contact one one side make sure inserted correct way else charge time tell long last,3.0 out of 5 stars
love fact offer different length cord work perfectly failed charge different device however one flaw one cord magnetic head fell right cord worked flawlessly want believe one situation would continue purchase product future,4.0 out of 5 stars
worked great last month,3.0 out of 5 stars
anyone iphone included lightningcable tip prong one side tip tip work however might flip tip insert phone opposite direction first direction charge found charging iphone pro max metal part magnet connector get insanely hot touch burned finger accidentally touch using phone sure potential fire hazard charge device fine little slow horribly cord bunch connector tip price good deal,3.0 out of 5 stars
really wanted like cool concept detail get right charging time slow slower qi wireless pad reason plug get faster charging failure enough usb c tip included default would like see type b would plenty dealbreaker tip blue led light built night light whole room keep charging cord mostly bedroom either plug something cord unplug unused cord night otherwise impossible sleep pain butt cable becomes dislodged night easy fall asleep phone next bed magnet strong wake stopped using completely,2.0 out of 5 stars
loving cord got connect battery pack quest convenient went transfer file pc quest data charging disappointed say nowhere power see review stating thisbuyer beware,3.0 out of 5 stars
like cord solid connectionthe magnetic end contact one side charge unless inserted properly however proper insertion unable connect iphone pro silverado hd pickup car play work phone charge switching back conventional non magnetic cable car play work,3.0 out of 5 stars
cable work great charging data transfer found accident could use cable apple carplay car cable data transfer lead side tip couple article indicated mfi certified one work really bummed like magnetic connector swivel,3.0 out of 5 stars
ordered two pack aunt amazon box received one box cord one package clear plastic bag thought odd connector link different thought nothing plugged charger head phone plugged cable computer charge cord mate end phone promptly started smoking catching fire pulled computer phone acting odd contacting amazon get refund issue warning dangerous product see picture burn proof,1.0 out of 5 stars
cord lack power transfer,3.0 out of 5 stars
price really bad get size plenty go around said charging end whip pretty easily broken magically summon magnetic dust aether said dust get charging tip connect good kind pain clean otherwise best worst,3.0 out of 5 stars
headline review,4.0 out of 5 stars
part stick device magnetic great deal attracts metal filing charging port hoped ordered plug ferrous metal cord magnetic anyways also keep breaking part great overall cool idea though,3.0 out of 5 stars
product first great little proved unreliable best,4.0 out of 5 stars
wife us needed data android auto want charge work great,3.0 out of 5 stars
week right away one io charge inoperable big deal guess well little little phone pocket whatever piece go phone started cracking breaking top charging anything get sooo hot sure first seemed like really bad as concept turned biggest wast money recommend,1.0 out of 5 stars
slow charge,3.0 out of 5 stars
part go phone short fit phone case good phone case fit,3.0 out of 5 stars
charge ok quick charge cable sure charge hr depends using phone around,3.0 out of 5 stars
update another cable stopped working intermittently great customer service wish product little sturdier one five cable stopped working properly contacted seller responded day sent replacement part arrived within day faster original order,3.0 out of 5 stars
cord great size swivel pretty good magnet hold strength long within day two loose power,3.0 out of 5 stars
tested rechargeable led light cell phone pretty much anything mini usb connector watt charger moment tried year old ipad anker elite watt charger cord got hot mean hot including swivel connector cord constructed fine meaning thin wire handle watt safely anything watt exponential risk watt le charger cord acceptable usb c device recommend looking mag adapter fit existing usb c cord rated powerful charger would recommend one amazon would fare enough simply recommend one let look one realistic review match,2.0 out of 5 stars
great product charge slowly,3.0 out of 5 stars
cable would continue charging device bumped moved constantly went charge mode need larger contact area,3.0 out of 5 stars
id good,4.0 out of 5 stars
ft cord charging correctly ft ft working great,3.0 out of 5 stars
love design connector fall apart easily much resistance fast charge phone,3.0 out of 5 stars
love one cord charging need,5.0 out of 5 stars
buy went charge lg phone smoke immediately came end cord immediately disconnected touched end tip finger burnt finger tip plastic part around melted immediately went around house car pulled bad cord glad start fire making contact chair carpet,1.0 out of 5 stars
concept great little adapter go device fails worthless send ton adapter lightning type apple product charge regular basis stuck spare adapter fail window return closed stuck inferior product happy purchase even contact seller,2.0 out of 5 stars
brought fast charging keep entering charging port preserve port plan buy phone year charge device solve issue lazy return worth,3.0 out of 5 stars
good cord feel nice tip attach securely satisfying click magnet connect bad biggest gripe iphone lightning plug plug contact point one side mean certain way put phone huge deal use half contact use function like carplay personally use almost every time get car oh round base may interfere phone case,3.0 out of 5 stars
think charger excellent quality magnetic versatility great rapid charge take good hour charge full need quick rapid charge would pry adapter phone case able use regular cord rapid charging box sadly return need rapid charge versatility strong design bad really like,3.0 out of 5 stars
kid broke wire within month buying thought would easier use point stopped using lost attachment obviously company fault gimmicky would hoped stopped using one phone half time would find charge phone,2.0 out of 5 stars
cable adapter best thing household multiple device kind struggling find right charger device put ft cable car eliminated additional cord previously switch various device,5.0 out of 5 stars
charge extremely slow point unusable love look feel unfortunately going cut returning,2.0 out of 5 stars
love everything cable save one thing charging table iphone stop charging randomly stay connected charge magnet connection oriented correctly weird,3.0 out of 5 stars
charge great couple tip break replaced thanks guy,5.0 out of 5 stars
bought primarily charging tablet using certain apps designed primarily phone use portrait orientation result side mounting power cord press straight line thought hinged connection point would great compromise well several month cable feed consistent charge know failure point irrelevant,2.0 out of 5 stars
iphone pro user pro ample charging cable adapter lighting android etc con magnetic charging plug adapter insert charging port iphone fit phone case use scissors cut piece plastic case order accommodate insert insert also fall easily phone stop charging insert come attempt disconnect phone vehicle device frequently stop charging five minute probably due connection loose also iphone insert work inserted correct side facing charging connection universal despite fitting way chance plug right way know look plug stay device keep charging pretty great magnetic attachment convenient little blue light end charging cable great looking dark overall stress worth since probably wake phone charged,1.0 out of 5 stars
excited cord loved length light end especially loved swivel head cord however sorely disappointed cord stopped working within day day five cord last one temperamental best tried cord multiple device micro usb usb c plug recent stopped working charging bluetooth speaker,1.0 out of 5 stars
carga demora demasiado pero e,3.0 out of 5 stars
grandkids really enjoying like go fishing phone magnetic tip grab android pull light help find end dark tangle free cord allows use device charging love cord charge every thing multiple tip included daughter share set ft car ft family room ft bedroom multitude charger everywhere three tip type worked device note tip phone place copper stripe face charging slight issue customer service quickly took care u year warranty plus buy extended warranty,2.0 out of 5 stars
work well side unplug part stay phone come pull straight need get used unplugging,4.0 out of 5 stars
using charger week work ok sometimes pull apart let reconnect several time make sure charging full speed use galaxy ultras watching phone sometimes say hour till full charge disconnect reconnect couple time charge time go hour normal work ok,3.0 out of 5 stars
good,4.0 out of 5 stars
using fast charging plug take forever charge,3.0 out of 5 stars
apple adapter included product stay connected disconnect charging process soon try use device charging also case phone forget,2.0 out of 5 stars
recommend,2.0 out of 5 stars
might little slow charge able get data transfer still handy,3.0 out of 5 stars
potential lose charging tip great lost mine,3.0 out of 5 stars
wish cable fast charging return buy,3.0 out of 5 stars
braided cord magnet nice look cheap mine almost month longer cable starting problem either charged slow charge tried using different power block well plugging directly pc usb port seeing review hoping maybe received faulty set,3.0 out of 5 stars
pro variety connection type provided rotation connection cool braided cable provide better protection damage variety cord length lighted connectedcon charging power much low adequate anything slow charging magnet hold well pic device swung cord misleading cool tech live ideal,2.0 out of 5 stars
good design work apple carplay charge phone,2.0 out of 5 stars
cool concept everyday use well wear tear happens phone,3.0 out of 5 stars
magnetic aspect cable work advertised connect easily seem stop charging swiveling major issue work modern fast charging brick every fast charger plugged result cable light turn second stop working plugged cable low power usb charger work fine,2.0 out of 5 stars
awesome idea charge substantially slower normal samsung charger major hurry work well,3.0 out of 5 stars
medium could loaded really cool idea charge well work apple car play android auto make useless pull little dongle every time use car might well use regular cable timetried samsung wife iphone disapointing otherwise really great,2.0 out of 5 stars
aware data cable transfer data device like pc projector,2.0 out of 5 stars
love charger simplicity adapter easy lose watch,4.0 out of 5 stars
downgrading cable since quit charging first could unplug would start working even help husband still us rest u gone back old cable avoid hassle replacing charging cable magnetic cable make life much easier fish around find opening device magnet snap fish find many cable draped around charger correct end wish type cable would become status quo make charger much simpler,2.0 out of 5 stars
attach cable iphone make connection display gmc cannon map display switch back old usb cable map display stopped using product,2.0 out of 5 stars
far seems quality product would recommend especially kid tablet,4.0 out of 5 stars
good,3.0 out of 5 stars
received several cord tip yesterday worked little however quit charging tried changing cord tip avail great idea crappy product,1.0 out of 5 stars
hard keep attached using device easy connection though,3.0 out of 5 stars
trouble always connecting charge replug quite often,4.0 out of 5 stars
really wanted work solution cable charging woe ala last cord stopped working week use disappointed,3.0 out of 5 stars
worked well lg style charged quick used cable newer phone like samsung n gen would charge really slow n really heat phone work well older gen newer gen n bummed would great longer use due issue cause,2.0 out of 5 stars
great concept cord pack work thought charging block tried cord multiple block result however one work well amazing android work phone iphone one cord,2.0 out of 5 stars
charge phone min movement cable cool phone samsung gave problem charge symbol buy product bad,1.0 out of 5 stars
length great color outstanding love red little end great awesome different kind charging oh boy hour charge phone fast charge wall plug phone came even tried different wall plug short one ok foot much away get used person sleep take long want like,2.0 out of 5 stars
biggest issue magnet associated swivel functionality magnet strong enough connect cable plug would come unseated easily swiveling also advertised fast charging work cable saw manufacturer said longer cable would work fast charge ok guess also tried shorter cable dice either,2.0 out of 5 stars
definitely using awesome everything cord headset phone controller love,5.0 out of 5 stars
used short time already tip go inside iphone come apart durable,2.0 out of 5 stars
allow data transfer power device,3.0 out of 5 stars
even know begin charger worked right bag stopped working day last one worked week magnet strength great decent long move tug eye roll bottom line waste money like worth time frustration,1.0 out of 5 stars
liked phone use usb c connection however totally drained macbook pro laptop left charging overnight even though like able use laptop bummer,3.0 out of 5 stars
easy use often insensitive contact often electricity electricity,3.0 out of 5 stars
simple use right price,5.0 out of 5 stars
plug failed fairly short period time luckily cord work brand plug tried,3.0 out of 5 stars
absolutely love charger convenient easy use plus nobody steal charger however bit go phone break easy eventually run buy really suck definite waste money work amazing,2.0 out of 5 stars
worked great first week charging speed fell way take close hour charge used take,2.0 out of 5 stars
even reach w matter connection used several different point waste money,1.0 out of 5 stars
although idea great work never move use joint bend becomes faulty wire within start gray lose charging unless bent back frayed wire touch umm fire hazard ever one never move much use charger stationary position problem quick attach release idea able charge using cord tangled otherwise regular cord would work fine beware yes work could ruin phone start fire,1.0 out of 5 stars
part plug phone get stuck pri knife,3.0 out of 5 stars
worked quite well first day thing started going wrong first strong magnetism weakened moving device would dislodge cable second charging speed began slow growing worse time third even cable connected indicator show charge process device would lose amount charge light use fourth charging process became unreliable speed would change even device turned last night using last cable charging left tablet charge turned approximately hour level charge increased checked level charge hour find increase hour additional increase le purchasing different manufacturer disappointed,1.0 out of 5 stars
great connection week cable stopped working still worked another cable adapter pleased product star item give star waiting see cable fails,2.0 out of 5 stars
connection issue,4.0 out of 5 stars
love durability function cord led light end cable light connected device great help strength magnet far surpassed expecting,5.0 out of 5 stars
even bother trying pick phone ground cord detach want detach cord unplugs little attachment causing get lost terrible,2.0 out of 5 stars
great box swivel end feel fragile perfect straight box month later charging time outlandish use phone charger keep current charge plug say charging time hour hour got paid,2.0 out of 5 stars
